{'time':'2021-03-03 17:16:27,416','message': {'done':'False', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[  3  90 180  13  50 100]]', 'reward': '-0.3533333333333333'}}
{'time':'2021-03-03 17:16:32,646','message': {'done':'False', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[  0  81 162  13  25  50]]', 'reward': '-0.24'}}
{'time':'2021-03-03 17:16:38,137','message': {'done':'False', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[  0  72 145  13  12  25]]', 'reward': '0.045310853530031614'}}
{'time':'2021-03-03 17:16:43,374','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[  0  64 130  13   6  12]]', 'reward': '-0.06818181818181818'}}
{'time':'2021-03-03 17:16:48,744','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[  0  57 117  13   3   6]]', 'reward': '-1.1416666666666666'}}
{'time':'2021-03-03 17:16:53,953','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[  0  51 105  13   1   3]]', 'reward': '-2.4722222222222223'}}
{'time':'2021-03-03 17:17:00,670','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 5 45 94 13  0  1]]', 'reward': '-5.908163265306122'}}
{'time':'2021-03-03 17:17:05,891','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 4 40 84 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:17:11,076','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 4 36 75 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:17:16,276','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 5 32 67 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:17:21,640','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 5 28 60 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:17:27,048','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 3 25 54 13  0  0]]', 'reward': '0'}}
