{'time':'2021-04-07 15:54:33,646','message': {'state':'[[  0 125 250  85 100 200]]', 'action': '14', 'next_state': '[[  0 125 250  85 100 200]]', 'reward': '-0.04999999999999999'}}
{'time':'2021-04-07 15:54:38,821','message': {'state':'[[  0  93 187  85 100 200]]', 'action': '35', 'next_state': '[[  0  93 187  85 100 200]]', 'reward': '-0.051190476190476175'}}
{'time':'2021-04-07 15:54:44,007','message': {'state':'[[  0 116 233  76 100 200]]', 'action': '14', 'next_state': '[[  0 116 233  76 100 200]]', 'reward': '-0.08095510983763132'}}
{'time':'2021-04-07 15:54:49,515','message': {'state':'[[  0 145 291  76  75 150]]', 'action': '19', 'next_state': '[[  0 145 291  76  75 150]]', 'reward': '0.003679918450560593'}}
{'time':'2021-04-07 15:54:54,729','message': {'state':'[[  0 108 218  76  75 150]]', 'action': '35', 'next_state': '[[  0 108 218  76  75 150]]', 'reward': '0.002399454669393286'}}
{'time':'2021-04-07 15:55:00,000','message': {'state':'[[  0  81 163  76  75 150]]', 'action': '35', 'next_state': '[[  0  81 163  76  75 150]]', 'reward': '0.003078324225865181'}}
{'time':'2021-04-07 15:55:05,757','message': {'state':'[[  0  60 122  76  75 150]]', 'action': '35', 'next_state': '[[  0  60 122  76  75 150]]', 'reward': '0.0007814407814408231'}}
{'time':'2021-04-07 15:55:11,084','message': {'state':'[[  0  75 152  76  75 150]]', 'action': '14', 'next_state': '[[  0  75 152  76  75 150]]', 'reward': '0.001507586882036227'}}
{'time':'2021-04-07 15:55:16,252','message': {'state':'[[  0  93 190  76  75 150]]', 'action': '14', 'next_state': '[[  0  93 190  76  75 150]]', 'reward': '-0.0002669807616804132'}}
{'time':'2021-04-07 15:55:21,434','message': {'state':'[[  0  69 142  76  75 150]]', 'action': '35', 'next_state': '[[  0  69 142  76  75 150]]', 'reward': '-0.0018746708794101785'}}
{'time':'2021-04-07 15:55:26,664','message': {'state':'[[  0  86 177  76  75 150]]', 'action': '14', 'next_state': '[[  0  86 177  76  75 150]]', 'reward': '-0.0018926911702576987'}}
{'time':'2021-04-07 15:55:31,969','message': {'state':'[[  0  64 132  76  75 150]]', 'action': '35', 'next_state': '[[  0  64 132  76  75 150]]', 'reward': '-0.0023582766439909086'}}
{'time':'2021-04-07 15:55:37,144','message': {'state':'[[  0  80 165  77  75 150]]', 'action': '14', 'next_state': '[[  0  80 165  77  75 150]]', 'reward': '0.0020861678004535644'}}
{'time':'2021-04-07 15:55:42,318','message': {'state':'[[  0 100 206  77  75 150]]', 'action': '14', 'next_state': '[[  0 100 206  77  75 150]]', 'reward': '0.0023529411764705577'}}
{'time':'2021-04-07 15:55:47,493','message': {'state':'[[  0  75 154  77  75 150]]', 'action': '35', 'next_state': '[[  0  75 154  77  75 150]]', 'reward': '0.003066472586123248'}}
{'time':'2021-04-07 15:55:52,658','message': {'state':'[[  0  93 192  77  75 150]]', 'action': '14', 'next_state': '[[  0  93 192  77  75 150]]', 'reward': '0.0018713450292398015'}}
{'time':'2021-04-07 15:55:57,831','message': {'state':'[[  0  69 144  77  75 150]]', 'action': '35', 'next_state': '[[  0  69 144  77  75 150]]', 'reward': '-0.0005007824726134258'}}
{'time':'2021-04-07 15:56:03,000','message': {'state':'[[  0  86 180  77  75 150]]', 'action': '14', 'next_state': '[[  0  86 180  77  75 150]]', 'reward': '-0.0011361737677526573'}}
{'time':'2021-04-07 15:56:08,172','message': {'state':'[[  0  64 135  77  75 150]]', 'action': '35', 'next_state': '[[  0  64 135  77  75 150]]', 'reward': '-0.00283640424343945'}}
{'time':'2021-04-07 15:56:13,467','message': {'state':'[[  0  80 168  77  75 150]]', 'action': '14', 'next_state': '[[  0  80 168  77  75 150]]', 'reward': '-0.001863799283154055'}}
{'time':'2021-04-07 15:56:19,581','message': {'state':'[[  0 100 210  77  75 150]]', 'action': '14', 'next_state': '[[  0 100 210  77  75 150]]', 'reward': '-0.001863799283154055'}}
{'time':'2021-04-07 15:56:24,750','message': {'state':'[[  0  75 157  77  75 150]]', 'action': '35', 'next_state': '[[  0  75 157  77  75 150]]', 'reward': '-0.0011685823754788993'}}
{'time':'2021-04-07 15:56:31,369','message': {'state':'[[  0  93 196  77  75 150]]', 'action': '14', 'next_state': '[[  0  93 196  77  75 150]]', 'reward': '-0.0026451364859668702'}}
{'time':'2021-04-07 15:56:36,983','message': {'state':'[[  0  69 147  77  75 150]]', 'action': '35', 'next_state': '[[  0  69 147  77  75 150]]', 'reward': '-0.0050000000000000044'}}
{'time':'2021-04-07 15:56:42,151','message': {'state':'[[  0  86 183  77  75 150]]', 'action': '14', 'next_state': '[[  0  86 183  77  75 150]]', 'reward': '-0.004741842213961123'}}
{'time':'2021-04-07 15:56:48,933','message': {'state':'[[  0  64 137  77  75 150]]', 'action': '35', 'next_state': '[[  0  64 137  77  75 150]]', 'reward': '-0.006036484245439455'}}
{'time':'2021-04-07 15:56:55,214','message': {'state':'[[  0  80 171  77  75 150]]', 'action': '14', 'next_state': '[[  0  80 171  77  75 150]]', 'reward': '-0.005719344842850749'}}
{'time':'2021-04-07 15:57:00,384','message': {'state':'[[  0 100 213  77  75 150]]', 'action': '14', 'next_state': '[[  0 100 213  77  75 150]]', 'reward': '-0.00495562655307058'}}
{'time':'2021-04-07 15:57:06,004','message': {'state':'[[  0  75 159  77  75 150]]', 'action': '35', 'next_state': '[[  0  75 159  77  75 150]]', 'reward': '-0.00393162393162394'}}
{'time':'2021-04-07 15:57:12,196','message': {'state':'[[  0  93 198  77  75 150]]', 'action': '14', 'next_state': '[[  0  93 198  77  75 150]]', 'reward': '-0.004856815578465068'}}
{'time':'2021-04-07 15:57:17,889','message': {'state':'[[  0  69 148  77  75 150]]', 'action': '35', 'next_state': '[[  0  69 148  77  75 150]]', 'reward': '-0.006472094214029722'}}
{'time':'2021-04-07 15:57:23,117','message': {'state':'[[  0  86 185  77  75 150]]', 'action': '14', 'next_state': '[[  0  86 185  77  75 150]]', 'reward': '-0.007101271012710075'}}
{'time':'2021-04-07 15:57:28,286','message': {'state':'[[  0  64 138  77  75 150]]', 'action': '35', 'next_state': '[[  0  64 138  77  75 150]]', 'reward': '-0.007612761276127644'}}
