{'time':'2021-02-18 16:05:22,431','message': {'state':'[[  0 100 200  79 100 200]]', 'action': '18', 'next_state': '[[  0 100 200  79 110 220]]', 'reward': '-0.14090909090909093'}}
{'time':'2021-02-18 16:05:27,614','message': {'state':'[[  0 100 200  79 110 220]]', 'action': '18', 'next_state': '[[  0 100 200  79 121 242]]', 'reward': '-0.17355371900826444'}}
{'time':'2021-02-18 16:05:32,795','message': {'state':'[[  0 100 200  79 121 242]]', 'action': '18', 'next_state': '[[  0 100 200  13 133 266]]', 'reward': '-0.45112781954887216'}}
{'time':'2021-02-18 16:05:37,971','message': {'state':'[[  0 100 200  13 133 266]]', 'action': '18', 'next_state': '[[  0 100 200  13 146 292]]', 'reward': '-0.45547945205479456'}}
{'time':'2021-02-18 16:05:44,941','message': {'state':'[[  0 100 200  13 146 292]]', 'action': '33', 'next_state': '[[  2  75 150  77  73 146]]', 'reward': '0.04073059360730591'}}
{'time':'2021-02-18 16:05:50,117','message': {'state':'[[  2  75 150  77  73 146]]', 'action': '18', 'next_state': '[[  3  75 150  77  80 160]]', 'reward': '0.0012500000000000289'}}
{'time':'2021-02-18 16:05:55,294','message': {'state':'[[  3  75 150  77  80 160]]', 'action': '18', 'next_state': '[[  2  75 150  77  88 176]]', 'reward': '-0.04916666666666669'}}
{'time':'2021-02-18 16:06:00,467','message': {'state':'[[  2  75 150  77  88 176]]', 'action': '18', 'next_state': '[[  2  75 150  77  96 193]]', 'reward': '-0.08460481099656358'}}
{'time':'2021-02-18 16:06:05,644','message': {'state':'[[  2  75 150  77  96 193]]', 'action': '18', 'next_state': '[[  2  75 150  77 105 212]]', 'reward': '-0.11750778816199381'}}
{'time':'2021-02-18 16:06:10,835','message': {'state':'[[  2  75 150  77 105 212]]', 'action': '18', 'next_state': '[[  2  75 150  77 115 233]]', 'reward': '-0.14768361581920908'}}
{'time':'2021-02-18 16:06:15,979','message': {'state':'[[  2  75 150  77 115 233]]', 'action': '3', 'next_state': '[[  2  67 135  77  57 116]]', 'reward': '0.1915503489531406'}}
{'time':'2021-02-18 16:06:21,408','message': {'state':'[[  2  67 135  77  57 116]]', 'action': '18', 'next_state': '[[  2  67 135  77  62 127]]', 'reward': '0.13744343891402722'}}
{'time':'2021-02-18 16:06:26,566','message': {'state':'[[  2  67 135  77  62 127]]', 'action': '12', 'next_state': '[[  1  50 101  77  68 139]]', 'reward': '0.08298812482739581'}}
{'time':'2021-02-18 16:06:31,753','message': {'state':'[[  1  50 101  77  68 139]]', 'action': '18', 'next_state': '[[  0  50 101  77  74 152]]', 'reward': '0.029034690799396634'}}
{'time':'2021-02-18 16:06:37,078','message': {'state':'[[  0  50 101  77  74 152]]', 'action': '18', 'next_state': '[[  0  50 101  77  81 167]]', 'reward': '-0.013451892384860942'}}
{'time':'2021-02-18 16:06:43,870','message': {'state':'[[  0  50 101  77  81 167]]', 'action': '19', 'next_state': '[[  0  25  50  77  89 183]]', 'reward': '-0.06382978723404253'}}
{'time':'2021-02-18 16:06:49,077','message': {'state':'[[  0  25  50  77  89 183]]', 'action': '48', 'next_state': '[[  0  18  37  77 133 274]]', 'reward': '-0.17226577081000377'}}
{'time':'2021-02-18 16:06:55,837','message': {'state':'[[  0  18  37  77 133 274]]', 'action': '48', 'next_state': '[[  0  13  27  77 199 411]]', 'reward': '-0.25202156334231807'}}
{'time':'2021-02-18 16:07:01,631','message': {'state':'[[  0  13  27  77 199 411]]', 'action': '48', 'next_state': '[[  0   9  20  77 298 616]]', 'reward': '-0.2565751858204688'}}
{'time':'2021-02-18 16:07:06,875','message': {'state':'[[  0   9  20  77 298 616]]', 'action': '18', 'next_state': '[[  0   9  20  77 327 677]]', 'reward': '-0.26623376623376616'}}
{'time':'2021-02-18 16:07:27,354','message': {'state':'[[  0   9  20  77 327 677]]', 'action': '18', 'next_state': '[[  0   9  20  77 359 744]]', 'reward': '-0.2753246753246753'}}
{'time':'2021-02-18 16:07:33,005','message': {'state':'[[  0   9  20  77 359 744]]', 'action': '18', 'next_state': '[[  0   9  20  77 394 818]]', 'reward': '-0.28291166380789023'}}
{'time':'2021-02-18 16:07:38,395','message': {'state':'[[  0   9  20  77 394 818]]', 'action': '18', 'next_state': '[[  0   9  20  77 433 899]]', 'reward': '-0.29106515801794763'}}
{'time':'2021-02-18 16:07:43,567','message': {'state':'[[  0   9  20  77 433 899]]', 'action': '18', 'next_state': '[[  4   9  20  77 476 988]]', 'reward': '-0.11692116477272729'}}
{'time':'2021-02-18 16:07:48,742','message': {'state':'[[  4   9  20  77 476 988]]', 'action': '18', 'next_state': '[[   0    9   20   77  523 1086]]', 'reward': '-0.3051832714354916'}}
{'time':'2021-02-18 16:07:53,892','message': {'state':'[[   0    9   20   77  523 1086]]', 'action': '18', 'next_state': '[[   0    9   20   77  575 1194]]', 'reward': '-0.3113526215303275'}}
{'time':'2021-02-18 16:07:59,074','message': {'state':'[[   0    9   20   77  575 1194]]', 'action': '18', 'next_state': '[[   0    9   20   77  632 1313]]', 'reward': '-0.31657989587505'}}
{'time':'2021-02-18 16:08:04,248','message': {'state':'[[   0    9   20   77  632 1313]]', 'action': '18', 'next_state': '[[   0    9   20   77  695 1444]]', 'reward': '-0.32164097584658324'}}
{'time':'2021-02-18 16:08:09,514','message': {'state':'[[   0    9   20   77  695 1444]]', 'action': '18', 'next_state': '[[   0    9   20   77  764 1588]]', 'reward': '-0.32595984112974397'}}
{'time':'2021-02-18 16:08:15,191','message': {'state':'[[   0    9   20   77  764 1588]]', 'action': '18', 'next_state': '[[   0    9   20   77  840 1746]]', 'reward': '-0.3301725867951033'}}
{'time':'2021-02-18 16:08:20,465','message': {'state':'[[   0    9   20   77  840 1746]]', 'action': '18', 'next_state': '[[   0    9   20   77  924 1920]]', 'reward': '-0.3342917123037604'}}
{'time':'2021-02-18 16:08:25,645','message': {'state':'[[   0    9   20   77  924 1920]]', 'action': '18', 'next_state': '[[   0    9   20   77 1016 2112]]', 'reward': '-0.3374668214996682'}}
{'time':'2021-02-18 16:08:30,822','message': {'state':'[[   0    9   20   77 1016 2112]]', 'action': '18', 'next_state': '[[   0    9   20   77 1117 2323]]', 'reward': '-0.34026835519372833'}}
{'time':'2021-02-18 16:08:35,997','message': {'state':'[[   0    9   20   77 1117 2323]]', 'action': '18', 'next_state': '[[   0    9   20   77 1228 2555]]', 'reward': '-0.3427759128588066'}}
{'time':'2021-02-18 16:08:35,998','message': {'episode': '0/1000', 'score': '34', 'e': '0.1'}}
{'time':'2021-02-18 16:08:35,998','message': {'Steps': '34', 'Episode': '0', 'Total Reward': '-6.393328388281154'}}
{'time':'2021-02-18 16:08:41,771','message': {'state':'[[  0 100 200  77 100 200]]', 'action': '18', 'next_state': '[[  0 100 200  77 110 220]]', 'reward': '-0.15000000000000002'}}
{'time':'2021-02-18 16:08:47,140','message': {'state':'[[  0 100 200  77 110 220]]', 'action': '18', 'next_state': '[[  0 100 200  77 121 242]]', 'reward': '-0.18181818181818182'}}
