{'time':'2020-12-08 09:04:07,919','message': {'state':'[[  2 100 200  77 100 200]]', 'action': '90', 'next_state': '[[  2  25  50  77 100 200]]', 'reward': '-74.3625'}}
{'time':'2020-12-08 09:04:08,293','message': {'state':'[[  2  25  50  77 100 200]]', 'action': '31', 'next_state': '[[  2  37  75  77 110 220]]', 'reward': '-74.4157894736842'}}
{'time':'2020-12-08 09:04:08,485','message': {'state':'[[  2  37  75  77 110 220]]', 'action': '90', 'next_state': '[[  2   9  18  77 110 220]]', 'reward': '-74.30833333333334'}}
{'time':'2020-12-08 09:04:09,176','message': {'state':'[[  2   9  18  77 110 220]]', 'action': '21', 'next_state': '[[  2  11  22  77 121 242]]', 'reward': '-74.38636363636364'}}
{'time':'2020-12-08 09:04:10,217','message': {'state':'[[  2  11  22  77 121 242]]', 'action': '90', 'next_state': '[[  1   2   5  77 121 242]]', 'reward': '-74.02272727272728'}}
{'time':'2020-12-08 09:04:11,101','message': {'state':'[[  1   2   5  77 121 242]]', 'action': '3', 'next_state': '[[  1   2   5  77 181 363]]', 'reward': '-74.17857142857143'}}
{'time':'2020-12-08 09:04:12,390','message': {'state':'[[  1   2   5  77 181 363]]', 'action': '90', 'next_state': '[[  1   0   1  77 181 363]]', 'reward': '-73.17857142857143'}}
{'time':'2020-12-08 09:04:12,950','message': {'state':'[[  1   0   1  77 181 363]]', 'action': '90', 'next_state': '[[  0   0   1  77 181 363]]', 'reward': '-73.92857142857143'}}
{'time':'2020-12-08 09:04:13,382','message': {'state':'[[  0   0   1  77 181 363]]', 'action': '24', 'next_state': '[[  0   0   1  77 316 635]]', 'reward': '-74.06191222570533'}}
{'time':'2020-12-08 09:04:13,631','message': {'state':'[[  0   0   1  77 316 635]]', 'action': '90', 'next_state': '[[  0   0   1  77 316 635]]', 'reward': '-74.06191222570533'}}
{'time':'2020-12-08 09:04:14,292','message': {'state':'[[  0   0   1  77 316 635]]', 'action': '90', 'next_state': '[[  0   0   1  77 316 635]]', 'reward': '-74.06191222570533'}}
{'time':'2020-12-08 09:04:15,151','message': {'state':'[[  0   0   1  77 316 635]]', 'action': '8', 'next_state': '[[  0   0   1  77 158 317]]', 'reward': '-73.88207547169812'}}
{'time':'2020-12-08 09:04:15,630','message': {'state':'[[  0   0   1  77 158 317]]', 'action': '90', 'next_state': '[[  0   0   1  77 158 317]]', 'reward': '-73.88207547169812'}}
{'time':'2020-12-08 09:04:16,120','message': {'state':'[[  0   0   1  77 158 317]]', 'action': '90', 'next_state': '[[  0   0   1  77 158 317]]', 'reward': '-73.88207547169812'}}
{'time':'2020-12-08 09:04:16,651','message': {'state':'[[  0   0   1  77 158 317]]', 'action': '90', 'next_state': '[[  0   0   1  77 158 317]]', 'reward': '-73.88207547169812'}}
{'time':'2020-12-08 09:04:16,847','message': {'state':'[[  0   0   1  77 158 317]]', 'action': '90', 'next_state': '[[  0   0   1  77 158 317]]', 'reward': '-73.88207547169812'}}
{'time':'2020-12-08 09:04:17,680','message': {'state':'[[  0   0   1  77 158 317]]', 'action': '90', 'next_state': '[[  0   0   1  77 158 317]]', 'reward': '-73.88207547169812'}}
{'time':'2020-12-08 09:04:18,317','message': {'state':'[[  0   0   1  77 158 317]]', 'action': '81', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:18,896','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:19,243','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:19,663','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:19,879','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:20,137','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:20,428','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:20,754','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:21,150','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:21,454','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:22,063','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:22,305','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:22,460','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:22,616','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '90', 'next_state': '[[  0   0   1  77 173 348]]', 'reward': '-73.91142857142857'}}
{'time':'2020-12-08 09:04:22,753','message': {'state':'[[  0   0   1  77 173 348]]', 'action': '43', 'next_state': '[[  0   0   1  77 259 522]]', 'reward': '-74.0190114068441'}}
